date,open,high,low,close,vol,per,pbr
2009-10-29,"347,278","347,935","338,088","342,027","90,748",3441,510
2009-10-30,"344,653","345,966","337,431","338,744","102,355",3408,505
2009-11-02,"334,805","344,653","334,805","342,027","71,427",3441,510
2009-11-03,"342,683","348,591","342,027","342,683","55,769",3448,511
2009-11-04,"347,278","347,278","338,088","341,370","53,497",3435,509
2009-11-05,"340,057","340,057","332,179","336,118","58,195",3382,501
2009-11-06,"336,118","340,057","328,897","332,179","73,867",3342,495
2009-11-09,"331,523","339,401","331,523","337,431","50,232",3395,503
2009-11-10,"342,683","349,904","342,027","343,340","90,366",3455,512
2009-11-11,"348,591","353,843","346,622","352,530","69,828",3547,526
2009-11-12,"350,561","353,843","344,653","344,653","71,728",3468,514
2009-11-13,"347,935","350,561","338,744","343,996","54,157",3461,513
2009-11-16,"345,966","359,095","341,370","358,439","123,853",3607,535
2009-11-17,"362,378","363,691","353,187","353,843","102,503",3560,528
2009-11-18,"361,065","363,034","356,469","359,752","68,291",3620,536
2009-11-19,"357,782","361,065","355,813","358,439","55,793",3607,535
2009-11-20,"355,156","361,721","354,500","357,782","33,506",3600,534
2009-11-23,"357,782","361,065","351,874","354,500","49,896",3567,529
2009-11-24,"357,782","357,782","353,843","356,469","45,605",3587,532
2009-11-25,"354,500","363,691","354,500","359,752","42,256",3620,536
2009-11-26,"360,408","367,629","360,408","361,065","48,223",3633,538
2009-11-27,"361,065","361,721","345,309","347,278","47,817",3494,518
2009-11-30,"351,874","357,126","348,591","349,904","42,581",3521,522
2009-12-01,"349,904","355,156","345,309","351,874","57,334",3541,525
2009-12-02,"351,874","355,156","349,904","352,530","58,493",3547,526
2009-12-03,"352,530","357,126","352,530","356,469","38,653",3587,532
2009-12-04,"358,439","368,286","356,469","363,034","87,632",3653,541
2009-12-07,"368,942","370,912","363,034","366,973","60,391",3692,547
2009-12-08,"364,347","371,568","364,347","365,660","43,298",3679,545
2009-12-09,"366,973","370,255","364,347","365,003","49,075",3673,544
2009-12-10,"365,003","366,316","356,469","363,691","112,011",3659,542
2009-12-11,"361,065","361,721","355,156","355,156","82,521",3574,530
2009-12-14,"356,469","360,408","354,500","359,095","63,082",3613,536
2009-12-15,"357,782","360,408","355,156","355,813","50,818",3580,531
2009-12-16,"359,095","359,095","345,966","348,591","109,607",3507,520
2009-12-17,"351,874","351,874","345,309","345,309","75,021",3474,515
2009-12-18,"347,278","347,935","343,340","343,996","44,298",3461,513
2009-12-21,"343,340","343,340","338,088","340,714","74,706",3428,508
2009-12-22,"341,370","344,653","340,057","341,370","40,574",3435,509
2009-12-23,"340,057","342,683","339,401","341,370","43,208",3435,509
2009-12-24,"341,370","349,904","341,370","348,591","69,972",3507,520
2009-12-28,"346,622","349,904","344,653","346,622","55,026",3488,517
2009-12-29,"347,935","349,904","344,653","346,622","25,469",3488,517
2009-12-30,"346,622","352,530","345,966","352,530","51,695",3547,526
2010-01-04,"352,530","353,187","349,248","352,530","46,383",3576,457
2010-01-05,"350,561","351,217","340,057","340,057","127,277",3450,440
2010-01-06,"340,057","343,996","338,744","341,370","104,406",3463,442
2010-01-07,"340,714","345,309","338,744","340,714","81,063",3457,441
2010-01-08,"342,027","343,340","335,462","338,088","69,539",3430,438
2010-01-11,"334,805","336,118","325,286","325,286","219,883",3300,421
2010-01-12,"326,599","332,836","325,286","332,836","105,331",3377,431
2010-01-13,"328,240","331,523","327,256","330,210","91,968",3350,428
2010-01-14,"328,897","331,523","324,958","326,271","93,438",3310,423
2010-01-15,"326,271","327,912","319,706","320,691","103,285",3253,415
2010-01-18,"321,676","324,630","316,752","322,332","92,754",3270,417
2010-01-19,"322,989","334,149","322,660","332,836","111,463",3377,431
2010-01-20,"336,775","343,996","334,805","342,027","168,335",3470,443
2010-01-21,"339,401","343,996","334,805","336,775","107,803",3417,436
2010-01-22,"334,805","336,775","330,866","334,805","72,596",3397,434
2010-01-25,"328,897","342,027","328,897","341,370","79,860",3463,442
2010-01-26,"343,340","349,904","340,057","343,996","167,881",3490,445
2010-01-27,"345,309","347,935","341,370","347,935","74,084",3530,451
2010-01-28,"347,935","347,935","343,996","345,966","80,276",3510,448
2010-01-29,"347,935","349,248","341,370","344,653","125,238",3497,446
2010-02-01,"345,966","349,904","341,370","343,340","79,250",3483,445
2010-02-02,"342,683","342,683","327,584","328,897","114,381",3337,426
2010-02-03,"333,492","337,431","329,553","334,805","57,092",3397,434
2010-02-04,"334,805","336,775","329,553","330,866","35,663",3357,428
2010-02-05,"326,271","328,240","323,973","324,958","59,095",3297,421
2010-02-08,"324,958","326,599","318,065","322,989","31,616",3277,418
2010-02-09,"323,645","330,866","322,989","328,240","47,381",3330,425
2010-02-10,"326,599","328,240","324,630","328,240","33,599",3330,425
2010-02-11,"330,210","331,523","325,286","330,866","38,682",3357,428
2010-02-12,"327,256","330,210","324,630","328,897","58,420",3337,426
2010-02-16,"327,912","329,553","325,943","328,240","32,384",3330,425
2010-02-17,"328,240","333,492","328,240","330,866","52,493",3357,428
2010-02-18,"330,210","338,744","330,210","338,744","59,779",3437,439
2010-02-19,"338,744","348,591","338,088","341,370","97,964",3463,442
2010-02-22,"342,027","347,935","342,027","345,309","49,599",3503,447
2010-02-23,"348,591","349,248","345,309","347,278","47,178",3523,450
2010-02-24,"344,653","348,591","343,340","347,278","40,124",3523,450
2010-02-25,"348,591","349,904","342,683","347,278","47,564",3523,450
2010-02-26,"348,591","348,591","343,340","347,935","31,227",3530,451
2010-03-02,"353,843","353,843","347,935","351,217","57,971",3563,455
2010-03-03,"348,591","355,813","348,591","351,874","54,172",3570,456
2010-03-04,"349,904","354,500","342,683","349,248","38,744",3543,452
2010-03-05,"347,935","353,187","346,622","350,561","36,578",3556,454
2010-03-08,"353,843","360,408","352,530","359,752","68,548",3650,466
2010-03-09,"359,095","360,408","357,126","357,782","52,737",3630,463
2010-03-10,"359,752","361,065","354,500","359,095","25,486",3643,465
2010-03-11,"359,095","363,034","359,095","361,721","64,357",3670,468
2010-03-12,"363,691","365,660","355,813","357,782","67,021",3630,463
2010-03-15,"355,813","360,408","352,530","356,469","27,766",3616,462
2010-03-16,"359,095","362,378","355,813","358,439","59,384",3636,464
2010-03-17,"364,347","366,316","359,095","363,691","78,520",3690,471
2010-03-18,"360,408","363,034","357,126","357,126","53,729",3623,462
2010-03-19,"359,752","361,065","356,469","359,095","38,798",3643,465
2010-03-22,"360,408","362,378","355,813","357,782","26,540",3630,463
2010-03-23,"359,752","362,378","356,469","361,065","60,379",3663,468
2010-03-24,"361,065","363,691","360,408","361,065","42,354",3663,468
2010-03-25,"364,347","365,660","360,408","365,003","59,012",3703,473
2010-03-26,"362,378","363,691","355,813","361,721","104,682",3670,468
2010-03-29,"361,065","361,065","345,309","347,278","118,082",3523,450
2010-03-30,"349,904","357,782","346,622","355,813","85,488",3610,461
2010-03-31,"359,095","361,721","351,217","351,217","75,753",3563,455
2010-04-01,"351,874","357,126","351,217","351,217","60,177",3563,455
2010-04-02,"350,561","350,561","344,653","347,935","54,888",3530,451
2010-04-05,"347,278","351,217","346,622","347,935","37,143",3530,451
2010-04-06,"350,561","350,561","346,622","348,591","30,720",3536,451
2010-04-07,"347,935","354,500","347,935","351,217","62,973",3563,455
2010-04-08,"349,248","355,813","348,591","355,156","54,622",3603,460
2010-04-09,"356,469","357,126","352,530","355,156","57,276",3603,460
2010-04-12,"354,500","357,782","354,500","356,469","50,288",3616,462
2010-04-13,"356,469","356,469","349,248","353,843","56,935",3590,458
2010-04-14,"355,813","357,782","353,187","357,782","47,813",3630,463
2010-04-15,"355,156","364,347","354,500","361,065","58,267",3663,468
2010-04-16,"359,752","359,752","351,874","357,782","36,043",3630,463
2010-04-19,"357,126","357,126","348,591","348,591","33,152",3536,451
2010-04-20,"348,591","351,217","346,622","350,561","30,467",3556,454
2010-04-21,"351,217","351,217","346,622","347,935","51,042",3530,451
2010-04-22,"345,966","347,935","338,744","340,057","115,601",3450,440
2010-04-23,"342,027","343,340","337,431","338,088","91,022",3430,438
2010-04-26,"340,714","343,996","339,401","340,057","70,456",3450,440
2010-04-27,"340,714","347,278","340,057","344,653","67,887",3497,446
2010-04-28,"341,370","342,683","338,088","340,714","51,079",3457,441
2010-04-29,"339,401","340,714","332,836","336,118","57,574",3410,435
2010-04-30,"335,462","339,401","331,523","334,149","84,278",3390,433
2010-05-03,"334,805","336,118","330,866","331,523","38,890",3363,429
2010-05-04,"332,836","334,805","330,866","333,492","34,888",3383,432
2010-05-06,"324,958","329,553","324,958","325,943","48,283",3307,422
2010-05-07,"320,363","325,943","317,737","321,347","68,153",3260,416
2010-05-10,"321,676","323,317","319,050","319,706","54,699",3243,414
2010-05-11,"322,660","333,492","320,034","328,897","98,898",3337,426
2010-05-12,"333,492","341,370","332,179","337,431","137,170",3423,437
2010-05-13,"337,431","339,401","329,553","334,149","84,577",3390,433
2010-05-14,"330,210","332,179","324,302","325,615","85,448",3303,422
2010-05-17,"324,630","324,630","313,798","317,080","65,169",3217,411
2010-05-18,"317,737","319,050","313,470","315,767","76,053",3203,409
2010-05-19,"317,409","319,050","314,126","316,424","59,120",3210,410
2010-05-20,"313,798","317,737","312,813","313,141","51,033",3177,406
2010-05-24,"310,844","322,004","310,844","315,111","43,270",3197,408
2010-05-25,"312,813","315,111","305,264","307,233","68,677",3117,398
2010-05-26,"305,264","312,813","301,325","312,813","72,447",3173,405
2010-05-27,"305,264","308,546","301,981","304,935","92,165",3094,395
2010-05-28,"307,890","308,218","303,294","308,218","67,018",3127,399
2010-05-31,"308,218","317,080","307,890","317,080","49,864",3217,411
2010-06-01,"314,454","318,393","313,798","318,065","37,508",3227,412
2010-06-03,"324,302","332,179","319,050","330,210","84,892",3350,428
2010-06-04,"328,240","329,553","326,271","328,240","75,029",3330,425
2010-06-07,"325,615","328,240","319,378","319,706","48,355",3243,414
2010-06-08,"322,660","324,630","318,393","322,660","61,832",3273,418
2010-06-09,"324,958","326,271","320,691","326,271","38,537",3310,423
2010-06-10,"328,240","332,836","326,928","328,897","48,876",3337,426
2010-06-11,"333,492","341,370","332,836","340,057","107,837",3450,440
2010-06-14,"340,714","347,278","340,057","345,309","84,355",3503,447
2010-06-15,"345,309","352,530","339,401","348,591","83,580",3536,451
2010-06-16,"347,278","352,530","345,966","347,935","48,557",3530,451
2010-06-17,"349,904","349,904","338,744","343,996","51,012",3490,445
2010-06-18,"339,401","342,027","337,431","340,057","38,443",3450,440
2010-06-21,"349,248","351,217","345,966","347,278","60,016",3523,450
2010-06-22,"350,561","355,156","348,591","354,500","79,554",3596,459
2010-06-23,"355,156","357,126","344,653","349,904","64,941",3550,453
2010-06-24,"345,966","353,843","345,966","348,591","31,684",3536,451
